,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Eyl,7.9803,49.8164,77.18,79,58,18.59,SO,1632178824
358,Yar-Sale,66.8333,70.8333,36.18,98,100,12.01,RU,1632178825
359,Playas,-2.6333,-80.3833,71.76,81,87,10.89,EC,1632178826
360,Cayenne,4.9333,-52.3333,82.44,78,0,3.44,GF,1632178826
361,Inyonga,-6.7167,32.0667,70.66,34,6,4.25,TZ,1632178827
362,San Miguel de Tucumán,-26.8241,-65.2226,65.71,53,100,2.04,AR,1632178815
363,Sire,12.9299,5.2043,81.75,65,35,7.67,NG,1632178828
364,Kuala Terengganu,5.3302,103.1408,78.03,84,100,3.71,MY,1632178829
365,Anamur,36.0751,32.8369,81.27,53,0,5.88,TR,1632178830
366,Marfino,55.7028,37.3822,43.05,93,90,15.66,RU,1632178830
367,Shimoda,34.6667,138.95,72.21,76,73,14.65,JP,1632178831
368,Udachny,66.4167,112.4,35.96,64,100,7.07,RU,1632178832
369,Vila Velha,-20.3297,-40.2925,73.53,82,8,8.48,BR,1632178833
370,Zhoucheng,35.9122,116.3117,63.41,91,0,4.56,CN,1632178834
371,Aklavik,68.2191,-135.0107,39.47,74,100,16.49,CA,1632178835
372,Luján,-34.5703,-59.105,57.13,72,84,11.86,AR,1632178808
373,Sacramento,38.4666,-121.3177,89.78,15,1,4.61,US,1632178602
374,Sarangani,5.4033,125.4636,82.08,72,92,3.42,PH,1632178836
375,Varhaug,58.6147,5.6457,54.95,82,100,16.15,NO,1632178836
376,Tilichiki,60.4667,166.1,46.71,87,100,9.46,RU,1632178837
377,Palmer,42.1584,-72.3287,66.81,76,4,4.63,US,1632178838
378,Novoul'yanovsk,54.1496,48.3891,47.28,54,100,12.64,RU,1632178839
379,San Cristobal,7.7669,-72.225,78.98,93,91,3.29,VE,1632178646
380,Vänersborg,58.3807,12.3234,46.24,87,90,2.3,SE,1632178840
381,Alta Floresta,-9.8756,-56.0861,88.92,27,76,2.37,BR,1632178841
382,São João da Barra,-21.6403,-41.0511,73.17,86,3,17.2,BR,1632178842
383,Preobrazheniye,42.9019,133.9064,61.25,86,100,10.04,RU,1632178842
384,Jiangkou,25.4872,119.1986,80.94,83,1,5.28,CN,1632178843
385,Waipawa,-41.4122,175.5153,56.03,62,81,22.19,NZ,1632178844
386,Saint Augustine,29.8947,-81.3145,79.03,94,75,0.0,US,1632178845
387,Paita,-5.0892,-81.1144,65.28,80,13,19.15,PE,1632178846
388,Adrar,20.5022,-10.0711,92.86,23,6,14.5,MR,1632178846
389,Mount Gambier,-37.8333,140.7667,50.45,61,90,11.05,AU,1632178810
390,High Level,58.5169,-117.136,60.8,35,6,5.46,CA,1632178847
391,Port Lincoln,-34.7333,135.8667,53.38,62,93,14.81,AU,1632178848
392,Bāpatla,15.9,80.4667,81.03,82,100,3.69,IN,1632178848
393,Yichang,30.7144,111.2847,67.78,87,0,5.73,CN,1632178849
394,Aranos,-24.1333,19.1167,54.05,29,0,12.3,NA,1632178850
395,Savalou,7.9281,1.9756,75.0,90,92,4.07,BJ,1632178850
396,Condega,13.365,-86.3985,77.47,83,54,4.74,NI,1632178851
397,Dolisie,-4.1997,12.6739,72.37,80,26,6.98,CG,1632178852
398,Matagami,49.7502,-77.6328,66.7,47,42,11.61,CA,1632178853
399,Ribeira Grande,38.5167,-28.7,70.83,72,3,13.15,PT,1632178853
400,Krasnosel'kup,65.7,82.4667,29.89,91,97,15.52,RU,1632178854
401,Monsenhor Gil,-5.5642,-42.6078,85.37,39,91,3.87,BR,1632178855
402,Pecos,31.4229,-103.4932,100.49,15,1,9.22,US,1632178856
403,Tessalit,20.1986,1.0114,91.13,10,0,8.84,ML,1632178857
404,Cuenca,-2.8833,-78.9833,58.5,79,95,5.7,EC,1632178857
405,Rumphi,-11.0186,33.8575,64.45,65,0,4.21,MW,1632178858
406,Labuan,5.2767,115.2417,73.56,75,98,5.28,MY,1632178859
407,Petra,30.3222,35.4793,69.24,43,0,3.02,JO,1632178860
408,Canguaretama,-6.38,-35.1289,75.43,75,11,13.06,BR,1632178861
409,Kudahuvadhoo,2.6708,72.8944,82.29,76,43,12.53,MV,1632178862
410,Rusnė,55.2964,21.3758,48.29,81,47,7.58,LT,1632178863
411,Turukhansk,65.8167,87.9833,34.29,94,100,8.16,RU,1632178863
412,Cornetu,44.3417,25.9408,59.16,71,82,5.99,RO,1632178864
413,Nishihara,26.1842,127.7558,81.68,78,20,3.44,JP,1632178864
414,Upata,8.0086,-62.3989,72.9,92,93,3.47,VE,1632178865
415,Caravelas,-17.7125,-39.2481,72.84,81,11,5.28,BR,1632178865
416,Hvolsvollur,63.7533,-20.2243,44.98,82,100,5.06,IS,1632178865
417,Saldanha,-33.0117,17.9442,54.77,66,0,17.92,ZA,1632178866
418,Ust'-Omchug,61.15,149.6333,28.8,91,89,8.79,RU,1632178867
419,Mahajanga,-15.7167,46.3167,71.62,64,20,6.91,MG,1632178867
420,Beringovskiy,63.05,179.3167,42.64,93,100,5.66,RU,1632178868
421,St. George's,12.0564,-61.7485,81.34,73,81,9.64,GD,1632178869
422,Margherita,27.2833,95.6833,73.69,97,80,2.46,IN,1632178869
423,Manavgat,36.7867,31.4431,73.81,59,0,2.17,TR,1632178870
424,Daitari,21.1,85.75,73.2,95,100,3.67,IN,1632178870
425,Middelburg,-25.7751,29.4648,63.37,27,64,6.55,ZA,1632178871
426,Konstantinovka,49.6167,127.9833,50.0,74,100,3.8,RU,1632178871
427,Chapais,49.7834,-74.8492,64.04,47,5,8.84,CA,1632178872
428,Bukavu,-2.5083,28.8608,64.06,75,75,1.19,CD,1632178872
429,Pemba,-12.974,40.5178,74.03,72,0,5.32,MZ,1632178873
430,Taltal,-25.4,-70.4833,59.02,80,58,5.48,CL,1632178873
431,Chino Valley,34.7575,-112.4538,86.31,19,63,12.26,US,1632178874
432,Erenhot,43.6475,111.9767,54.43,70,54,7.02,CN,1632178874
433,Severo-Kuril'sk,50.6789,156.125,49.57,77,38,30.0,RU,1632178875
434,Ocampo,21.65,-101.5,63.18,74,96,6.2,MX,1632178875
435,Biak,-0.9131,122.8766,75.43,89,100,3.69,ID,1632178875
436,Qingdao,36.0986,120.3719,65.8,88,0,8.95,CN,1632178628
437,Inhambane,-23.865,35.3833,67.42,77,3,9.71,MZ,1632178876
438,Kirakira,-10.4544,161.9205,83.53,73,66,11.16,SB,1632178877
439,Kyshtovka,56.555,76.6271,38.53,92,100,12.06,RU,1632178877
440,Vardø,70.3705,31.1107,43.38,74,43,26.35,NO,1632178877
441,Amuntai,-2.4177,115.2494,73.45,97,100,1.25,ID,1632178878
442,Conceição do Araguaia,-8.2578,-49.2647,94.03,17,99,2.26,BR,1632178777
443,Kaeo,-35.1,173.7833,60.87,64,7,6.89,NZ,1632178878
444,Sfântu Gheorghe,45.8667,25.7833,45.97,91,100,10.11,RO,1632178613
445,Karabudakhkent,42.7087,47.5673,62.06,68,28,8.95,RU,1632178880
446,Nurota,40.5614,65.6886,57.29,27,0,6.26,UZ,1632178881
447,Manzhouli,49.6,117.4333,49.78,80,100,4.63,CN,1632178882
448,Ilhéus,-14.7889,-39.0494,72.72,89,33,3.6,BR,1632178882
449,Soe,-9.8607,124.284,69.21,71,62,5.66,ID,1632178883
450,Smoky Lake,54.1169,-112.4686,58.08,43,93,7.94,CA,1632178883
451,Kamenka,51.3223,42.7678,48.42,82,99,11.48,RU,1632178884
452,Klyuchevskiy,53.5317,119.4519,45.88,94,25,1.48,RU,1632178884
453,Villazón,-22.0866,-65.5942,48.9,77,85,22.77,BO,1632178885
454,Kerema,-7.9631,145.7785,79.7,82,99,4.12,PG,1632178885
455,Nouadhibou,20.931,-17.0347,73.17,76,5,21.34,MR,1632178886
456,Vågåmo,61.8751,9.0967,43.12,96,100,8.03,NO,1632178886
457,Samarai,-10.6167,150.6667,77.59,89,100,13.51,PG,1632178887
458,Rio Grande,-32.035,-52.0986,65.23,99,99,11.97,BR,1632178887
459,Warrington,53.3925,-2.5802,57.31,88,40,6.91,GB,1632178888
460,São José da Coroa Grande,-8.8978,-35.1478,75.09,73,58,8.77,BR,1632178888
461,Raudeberg,61.9875,5.1352,50.67,92,100,29.21,NO,1632178883
462,Sturgis,41.7992,-85.4192,78.6,73,75,17.27,US,1632178851
463,Portree,57.4129,-6.1942,51.66,94,100,7.76,GB,1632178889
464,Rafai,4.95,23.9167,68.14,98,75,2.17,CF,1632178890
465,Codrington,-38.2667,141.9667,51.15,61,92,17.36,AU,1632178890
466,Kapit,2.0167,112.9333,72.75,100,100,1.45,MY,1632178891
467,Zhangaözen,43.3,52.8,65.95,32,82,13.09,KZ,1632178891
468,Luau,-10.7073,22.2247,71.38,27,4,4.88,AO,1632178892
469,Balyqshy,47.0667,51.8667,64.4,45,40,17.9,KZ,1632178892
470,Ilabaya,-17.4208,-70.5133,64.36,57,66,2.42,PE,1632178893
471,Tegul'det,57.3064,88.1667,36.07,95,100,7.61,RU,1632178893
472,Coquimbo,-29.9533,-71.3436,60.53,67,0,12.66,CL,1632178742
473,Cabedelo,-6.9811,-34.8339,76.89,72,37,14.41,BR,1632178884
474,Aswān,24.0934,32.907,88.59,14,25,7.83,EG,1632178894
475,Tingi,-11.3,35.0333,62.26,59,0,2.51,TZ,1632178895
476,Brownsville,25.9018,-97.4975,93.31,52,0,16.58,US,1632178716
477,Batī,11.1833,40.0167,69.87,40,8,7.34,ET,1632178895
478,Muros,42.7762,-9.0603,59.5,78,1,14.52,ES,1632178821
479,Mawlaik,23.6333,94.4167,72.79,99,58,0.16,MM,1632178896
480,Laguna,38.421,-121.4238,91.69,17,1,3.44,US,1632178896
481,Samandağ,36.0842,35.9771,76.28,70,0,3.11,TR,1632178897
482,Kiama,-34.6833,150.8667,52.84,53,99,16.22,AU,1632178897
483,Manggar,-2.8833,108.2667,80.35,75,87,10.18,ID,1632178753
484,Nelson Bay,-32.7167,152.15,57.25,58,37,16.93,AU,1632178898
485,Musāfir-Khāna,26.3667,81.8,81.86,78,97,5.5,IN,1632178899
486,Maumere,-8.6199,122.2111,80.11,66,86,3.56,ID,1632178899
487,Broken Hill,-31.95,141.4333,46.76,52,2,21.68,AU,1632178899
488,Werda,-25.2667,23.2833,56.34,27,0,12.73,BW,1632178900
489,Esil,51.9556,66.4042,35.11,70,17,6.53,KZ,1632178901
490,San Felipe Orizatlán,21.1833,-98.6167,85.69,74,72,3.96,MX,1632178901
491,Liusha,27.2098,108.59,62.47,91,0,2.75,CN,1632178901
492,Namuac,18.6109,121.1657,80.62,81,50,9.08,PH,1632178902
493,Akriní,40.4333,21.9,62.22,52,13,4.61,GR,1632178902
494,Clarksburg,39.2807,-80.3445,77.11,78,99,1.32,US,1632178835
495,Ahipara,-35.1667,173.1667,61.05,64,13,7.65,NZ,1632178903
496,Hutchinson,38.0608,-97.9298,82.89,29,0,21.09,US,1632178731
497,Kletnya,53.3897,33.2171,48.36,98,100,3.91,RU,1632178904
498,Marondera,-18.1853,31.5519,52.09,37,0,4.68,ZW,1632178904
499,Marsá Maţrūḩ,31.3525,27.2453,77.97,71,0,7.87,EG,1632178885
500,Kemin,42.7846,75.6892,53.35,41,20,1.23,KG,1632178905
501,Biskupiec,53.8647,20.9569,37.22,94,7,2.19,PL,1632178905
502,Cap-aux-Meules,47.3821,-61.8597,55.0,55,0,1.77,CA,1632178906
503,Labytnangi,66.6572,66.4183,38.01,97,100,9.82,RU,1632178906
504,Nemuro,43.3236,145.575,60.64,85,47,13.6,JP,1632178686
505,Chiredzi,-21.05,31.6667,64.35,41,0,4.65,ZW,1632178907
506,Aquiraz,-3.9014,-38.3911,80.69,80,27,12.53,BR,1632178907
507,Huainan,32.6264,116.9969,68.14,84,0,8.46,CN,1632178908
508,Constitución,-35.3333,-72.4167,52.41,76,0,12.26,CL,1632178908
509,Luwingu,-10.2621,29.9271,64.02,37,0,3.67,ZM,1632178909
510,Jiazi,22.8779,116.067,80.73,86,18,5.14,CN,1632178909
511,Port Blair,11.6667,92.75,79.3,87,100,7.92,IN,1632178910
512,Taoudenni,22.6783,-3.9836,98.29,9,2,9.55,ML,1632178632
513,Barranca,-10.75,-77.7667,62.26,78,12,10.83,PE,1632178911
514,Binitayan,13.2945,123.7579,80.2,82,98,4.16,PH,1632178911
515,‘Āhuimanu,21.4447,-157.8378,79.41,63,82,15.46,US,1632178911
516,Jutaí,-5.1833,-68.9,80.91,69,50,1.61,BR,1632178912
517,Mikhaylovka,50.06,43.2379,50.29,89,42,5.77,RU,1632178912
518,Pozhva,59.0912,56.0847,33.13,88,36,4.97,RU,1632178913
519,Holme,56.1138,10.1725,48.06,71,62,2.68,DK,1632178913
520,Marawi,7.9986,124.2928,71.87,88,40,1.68,PH,1632178914
521,Uthal,25.8072,66.6219,82.56,76,22,1.79,PK,1632178914
522,Roald,62.5833,6.1333,53.74,82,100,19.57,NO,1632178876
523,Micomeseng,2.1462,10.6164,68.31,100,71,2.37,GQ,1632178915
524,Mayumba,-3.432,10.6554,74.26,85,97,7.0,GA,1632178915
525,Shenjiamen,29.9576,122.298,73.35,85,38,4.68,CN,1632178916
526,Cranbrook,49.4999,-115.7688,58.82,38,92,6.11,CA,1632178822
527,Wajir,1.7471,40.0573,76.5,56,14,16.67,KE,1632178916
528,Kyra,49.5776,111.9753,50.32,93,99,0.96,RU,1632178917
529,Pontes e Lacerda,-15.2261,-59.3353,88.48,19,0,2.59,BR,1632178917
530,West Plains,36.7281,-91.8524,88.63,48,1,12.66,US,1632178918
531,Andilamena,-17.0167,48.5833,57.31,88,97,7.43,MG,1632178918
532,Huarmey,-10.0681,-78.1522,63.48,79,7,10.16,PE,1632178919
533,Emba,48.8264,58.1442,48.43,36,80,9.55,KZ,1632178919
534,Monroe,43.1501,-77.6831,71.22,65,88,12.46,US,1632178749
535,Ballina,-28.8667,153.5667,68.04,64,90,19.57,AU,1632178707
536,Sakakah,29.9697,40.2064,81.0,19,0,8.59,SA,1632178920
537,Seydi,39.4816,62.9137,64.78,14,0,10.49,TM,1632178921
538,Trincomalee,8.5711,81.2335,79.36,84,99,12.68,LK,1632178921
539,Tiarei,-17.5333,-149.3333,82.42,73,12,13.18,PF,1632178922
540,Te Anau,-45.4167,167.7167,44.91,96,100,3.42,NZ,1632178922
541,Launceston,-41.45,147.1667,46.04,65,18,4.61,AU,1632178923
542,Bahir Dar,11.5936,37.3908,62.44,87,63,4.23,ET,1632178813
543,Quryq,43.2,51.65,71.19,33,100,15.48,KZ,1632178924
544,Nuuk,64.1835,-51.7216,34.41,75,75,5.75,GL,1632178877
545,Levice,48.2156,18.6071,44.87,76,5,5.55,SK,1632178924
546,Pangnirtung,66.1451,-65.7125,32.0,68,82,3.15,CA,1632178925
